"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","33µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","RED_LED_5V","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","BLUE_LED_3.3V","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","JST-PH 1x9 Connector - WALLOPS to ML Suite","","","","Connector_JST:JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical","~"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","~"
"R1","1","150Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3","2","2.2kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1","330Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP1","1","GND_TP","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP2","1","5Vin_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP3","1","SCL_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP4","1","SDA_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"U1","1","VL53L8CX 0 (Zwicky)","","","","RockSat:VL53L8CX",""
"U2","1","VL58L8CX 1 (Aristotle)","","","","RockSat:VL53L8CX",""
"U3","1","VL53L8CX 3 (Copernicus)","","","","RockSat:VL53L8CX",""
"U4","1","VL53L8CX 2 (Brahe)","","","","RockSat:VL53L8CX",""
"U5","1","6DOF IMU (Sisko)","","","","RockSat:6DOF IMU",""
"U6","1","5V to 3.3V Converter","","","","RockSat:D24V22F3",""
