"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","22µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","RED_LED_5V","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D2","1","BLUE_LED_3.3V","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D3","1","LPN0_PURPLE_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D4","1","LPN1_PURPLE_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D5","1","LPN2_PURPLE_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D6","1","LPN3_PURPLE_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D7","1","RED_LED_3V3","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","JST-PH 1x9 Connector - WALLOPS to ML Suite","","","","Connector_JST:JST_PH_S9B-PH-SM4-TB_1x09-1MP_P2.00mm_Horizontal","~"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","~"
"R1","1","150Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3","2","2.2kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1","330Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R6,R7,R8","4","33Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9","1","65Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP1","1","GND_TP","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP2","1","5Vin_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP3","1","SCL_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"TP4","1","SDA_Test","","","","RockSat:TestPoint_Pad_D2.0mm_With_Tolerance","~"
"U1","1","VL53L8CX 0 (0x20; Zwicky)","","","","RockSat:VL53L8CX",""
"U2","1","VL58L8CX 1 (0x2A; Aristotle)","","","","RockSat:VL53L8CX",""
"U3","1","VL53L8CX 3 (0x2C; Copernicus)","","","","RockSat:VL53L8CX",""
"U4","1","VL53L8CX 2 (0x2B; Brahe)","","","","RockSat:VL53L8CX",""
"U5","1","6DOF IMU (0x69; Sisko)","","","","RockSat:6DOF IMU",""
"U6","1","5V to 3.3V Converter","","","","RockSat:D24V22F3",""
"U7","1","LIS3MDL (0x1C;  Janeway)","","","","",""
